issuer_id,instrument_id,exchange,listing_id,isin,symbol,listing_date,end_date,status,identity_status,predecessor_instrument_id,successor_instrument_id
,ins_d2e3ec640e9dace7,NSE,,,CHAMBLFERT,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_9123fae8685ad9a6,NSE,,,CHOLAFIN,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_52967442a1dcf314,NSE,,,CHOLAHLDNG,2017-09-25,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_2bf5f58b0f8aa78c,NSE,,,CIPLA,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_2362bb3e8f2bfdf4,NSE,,,COALINDIA,2010-11-04,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_428747df6aaa9f27,NSE,,,COCHINSHIP,2017-08-11,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_4ef5e6b8369542d6,NSE,,,COFORGE,2004-08-30,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_e8f1259b3b35b33d,NSE,,,COHANCE,2015-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_7cbef930f1c8977a,NSE,,,COLPAL,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_90c5d4a23efd03a3,NSE,,,CONCOR,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_25781d1196327f42,NSE,,,COROMANDEL,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_c9d876292f1c8216,NSE,,,CREDITACC,2018-08-23,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_bd9fb34f91b1749c,NSE,,,CROMPTON,2016-05-13,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_d765ee8eff2ef6f5,NSE,,,CUB,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_ef852b52a7327b85,NSE,,,CUMMINSIND,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_bf1dfa3d5aa1b566,NSE,,,DABUR,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_702c5fbe2938273a,NSE,,,DATAPATTNS,2021-12-24,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_6071a1245419148f,NSE,,,DEEPAKFERT,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_fe2ce4b21ba9ad60,NSE,,,DELHIVERY,2016-01-18,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_6ee54b258312769f,NSE,,,DEVYANI,2021-08-16,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_5292e948e84e6ef2,NSE,,,DIVISLAB,2003-03-12,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_ad787a02db3d4b51,NSE,,,DIXON,2017-09-18,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_3fabcf263ac6be3a,NSE,,,DLF,2007-07-05,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_ec54ae1420445091,NSE,,,DMART,2017-03-21,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_94251eea62fb5fdf,NSE,,,DRREDDY,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_a8bf9a5a8fd1f92c,NSE,,,EICHERMOT,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_292500b98552bade,NSE,,,ENRIN,2025-06-19,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_5461ab3182d6768b,NSE,,,EXIDEIND,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_86b7da220edb19df,NSE,,,FEDERALBNK,2000-01-04,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_e619201fc7dd0bbf,NSE,,,FIRSTCRY,2024-08-13,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_fac6c6f1fa968039,NSE,,,FIVESTAR,2022-11-21,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_6fc6770e0ea8e91b,NSE,,,FORCEMOT,2019-08-20,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_0c429a47a4b485ea,NSE,,,FORTIS,2007-05-09,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_8f3b1afc46c0ed10,NSE,,,FSL,2007-02-22,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_7a9b8b30ade12376,NSE,,,GAIL,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_4cd8092fee63159b,NSE,,,GESHIP,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_2bd1a539292f0b2a,NSE,,,GLAND,2020-11-20,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_de47b16bd47e1a18,NSE,,,GLENMARK,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_7aeefa32a9720e00,NSE,,,GMDCLTD,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_8e9b9ac139ba8fb5,NSE,,,GMRAIRPORT,2006-08-21,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_e3efa4cab0faeba7,NSE,,,GODFRYPHLP,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_53574d32097483d9,NSE,,,GODREJCP,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_d42d76893c6d7be9,NSE,,,GODREJPROP,2010-01-05,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_d31489c7905820c8,NSE,,,GPIL,2006-04-25,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_d06d6deec60c8e6c,NSE,,,GRASIM,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_60c850f3cfacf360,NSE,,,GROWW,2025-11-12,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_a5bf026ae133226b,NSE,,,GRSE,2018-10-10,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_efe040c08fa2b5e9,NSE,,,GVT&D,2008-06-30,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_c747ea7bda56f914,NSE,,,HAL,2018-03-28,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_fa45fac6cef98da4,NSE,,,HAVELLS,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_a7f275cacf94b237,NSE,,,HBLENGINE,2007-01-04,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_153d8d93f96c8978,NSE,,,HCLTECH,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_188bc6aec9e72694,NSE,,,HDFCAMC,2018-08-06,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_2da5d9c71a4d678e,NSE,,,HDFCBANK,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_a2d8cb5521f722f1,NSE,,,HDFCLIFE,2017-11-17,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_7fcb4ba402b34302,NSE,,,HEROMOTOCO,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_5859c16deaffea81,NSE,,,HINDALCO,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_1b42555fbf086053,NSE,,,HINDCOPPER,2010-01-08,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_8023ae29bff1c0c2,NSE,,,HINDPETRO,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_e8f0e439a6dcb753,NSE,,,HINDUNILVR,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_bd8b5d0c4146bade,NSE,,,HINDZINC,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_e82baa0d55116778,NSE,,,HSCL,2007-03-02,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_8040b5b7a450d02c,NSE,,,HUDCO,2017-05-19,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_ae7e7e4198b54fab,NSE,,,HYUNDAI,2024-10-22,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_86914f27235b69a9,NSE,,,ICICIAMC,2025-12-19,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_4ea6bcd86a1bba6c,NSE,,,ICICIBANK,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_6fd5df34942fe0b5,NSE,,,ICICIGI,2017-09-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_724c3cb0b793e170,NSE,,,IDBI,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_1760fc442c45f358,NSE,,,IDEA,2007-03-09,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_8a0acf96ce75ea70,NSE,,,IDFCFIRSTB,2015-11-06,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_0ce8908c4d9cc6e9,NSE,,,IFCI,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_e4575b7d2315aba4,NSE,,,IGL,2003-12-26,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_9c0a5adc8faf2b22,NSE,,,IIFL,2005-05-17,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_012fdcadffe102b4,NSE,,,IKS,2024-12-19,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_80b90d885029aa43,NSE,,,INDHOTEL,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_19aaf0e383288844,NSE,,,INDIANB,2007-03-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_85ada67fa74145ba,NSE,,,INDUSINDBK,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_53146f118e00decb,NSE,,,INDUSTOWER,2012-12-28,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_2c858c7419d3542a,NSE,,,INFY,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_d830e1dfef109459,NSE,,,INOXWIND,2015-04-09,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_aa29f93662aaa30f,NSE,,,IOC,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_91884f1e02ffb584,NSE,,,IRCON,2018-09-28,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_ec8b23f49c3b0a2b,NSE,,,IRCTC,2019-10-14,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_2185d2a142408f66,NSE,,,IREDA,2023-11-29,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_c36fabf34cb2a234,NSE,,,IRFC,2021-01-29,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_e7499b36e6efe223,NSE,,,ITC,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_12c0a5140a9486bd,NSE,,,ITI,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_fad41fa569892de0,NSE,,,JBMA,2004-12-17,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_e86bb7ef53fc6701,NSE,,,JINDALSTEL,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_cbf7e9bebb76b548,NSE,,,JMFINANCIL,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_96fd404bc64a0a90,NSE,,,JSWCEMENT,2025-08-14,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_4ce42a89fd2a48c0,NSE,,,JSWENERGY,2010-01-04,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_be3c23ebaa588e43,NSE,,,JSWSTEEL,2005-03-23,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_97b60a906d1b5c47,NSE,,,JUBLFOOD,2010-02-08,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_cc56dfed339bb8ba,NSE,,,JYOTICNC,2024-01-16,,CURRENTLY_ACTIVE,UNRESOLVED,,
