instrument_id,exchange,symbol,valid_from,valid_to,source_id,identity_status
ins_90c5d4a23efd03a3,NSE,CONCOR,,,local_filename_only,UNRESOLVED
ins_25781d1196327f42,NSE,COROMANDEL,,,local_filename_only,UNRESOLVED
ins_c9d876292f1c8216,NSE,CREDITACC,,,local_filename_only,UNRESOLVED
ins_bd9fb34f91b1749c,NSE,CROMPTON,,,local_filename_only,UNRESOLVED
ins_d765ee8eff2ef6f5,NSE,CUB,,,local_filename_only,UNRESOLVED
ins_ef852b52a7327b85,NSE,CUMMINSIND,,,local_filename_only,UNRESOLVED
ins_bf1dfa3d5aa1b566,NSE,DABUR,,,local_filename_only,UNRESOLVED
ins_702c5fbe2938273a,NSE,DATAPATTNS,,,local_filename_only,UNRESOLVED
ins_6071a1245419148f,NSE,DEEPAKFERT,,,local_filename_only,UNRESOLVED
ins_fe2ce4b21ba9ad60,NSE,DELHIVERY,,,local_filename_only,UNRESOLVED
ins_6ee54b258312769f,NSE,DEVYANI,,,local_filename_only,UNRESOLVED
ins_5292e948e84e6ef2,NSE,DIVISLAB,,,local_filename_only,UNRESOLVED
ins_ad787a02db3d4b51,NSE,DIXON,,,local_filename_only,UNRESOLVED
ins_3fabcf263ac6be3a,NSE,DLF,,,local_filename_only,UNRESOLVED
ins_ec54ae1420445091,NSE,DMART,,,local_filename_only,UNRESOLVED
ins_94251eea62fb5fdf,NSE,DRREDDY,,,local_filename_only,UNRESOLVED
ins_a8bf9a5a8fd1f92c,NSE,EICHERMOT,,,local_filename_only,UNRESOLVED
ins_292500b98552bade,NSE,ENRIN,,,local_filename_only,UNRESOLVED
ins_5461ab3182d6768b,NSE,EXIDEIND,,,local_filename_only,UNRESOLVED
ins_86b7da220edb19df,NSE,FEDERALBNK,,,local_filename_only,UNRESOLVED
ins_e619201fc7dd0bbf,NSE,FIRSTCRY,,,local_filename_only,UNRESOLVED
ins_fac6c6f1fa968039,NSE,FIVESTAR,,,local_filename_only,UNRESOLVED
ins_6fc6770e0ea8e91b,NSE,FORCEMOT,,,local_filename_only,UNRESOLVED
ins_0c429a47a4b485ea,NSE,FORTIS,,,local_filename_only,UNRESOLVED
ins_8f3b1afc46c0ed10,NSE,FSL,,,local_filename_only,UNRESOLVED
ins_7a9b8b30ade12376,NSE,GAIL,,,local_filename_only,UNRESOLVED
ins_4cd8092fee63159b,NSE,GESHIP,,,local_filename_only,UNRESOLVED
ins_2bd1a539292f0b2a,NSE,GLAND,,,local_filename_only,UNRESOLVED
ins_de47b16bd47e1a18,NSE,GLENMARK,,,local_filename_only,UNRESOLVED
ins_7aeefa32a9720e00,NSE,GMDCLTD,,,local_filename_only,UNRESOLVED
ins_8e9b9ac139ba8fb5,NSE,GMRAIRPORT,,,local_filename_only,UNRESOLVED
ins_e3efa4cab0faeba7,NSE,GODFRYPHLP,,,local_filename_only,UNRESOLVED
ins_53574d32097483d9,NSE,GODREJCP,,,local_filename_only,UNRESOLVED
ins_d42d76893c6d7be9,NSE,GODREJPROP,,,local_filename_only,UNRESOLVED
ins_d31489c7905820c8,NSE,GPIL,,,local_filename_only,UNRESOLVED
ins_d06d6deec60c8e6c,NSE,GRASIM,,,local_filename_only,UNRESOLVED
ins_60c850f3cfacf360,NSE,GROWW,,,local_filename_only,UNRESOLVED
ins_a5bf026ae133226b,NSE,GRSE,,,local_filename_only,UNRESOLVED
ins_efe040c08fa2b5e9,NSE,GVT&D,,,local_filename_only,UNRESOLVED
ins_c747ea7bda56f914,NSE,HAL,,,local_filename_only,UNRESOLVED
ins_fa45fac6cef98da4,NSE,HAVELLS,,,local_filename_only,UNRESOLVED
ins_a7f275cacf94b237,NSE,HBLENGINE,,,local_filename_only,UNRESOLVED
ins_153d8d93f96c8978,NSE,HCLTECH,,,local_filename_only,UNRESOLVED
ins_188bc6aec9e72694,NSE,HDFCAMC,,,local_filename_only,UNRESOLVED
ins_2da5d9c71a4d678e,NSE,HDFCBANK,,,local_filename_only,UNRESOLVED
ins_a2d8cb5521f722f1,NSE,HDFCLIFE,,,local_filename_only,UNRESOLVED
ins_7fcb4ba402b34302,NSE,HEROMOTOCO,,,local_filename_only,UNRESOLVED
ins_5859c16deaffea81,NSE,HINDALCO,,,local_filename_only,UNRESOLVED
ins_1b42555fbf086053,NSE,HINDCOPPER,,,local_filename_only,UNRESOLVED
ins_8023ae29bff1c0c2,NSE,HINDPETRO,,,local_filename_only,UNRESOLVED
ins_e8f0e439a6dcb753,NSE,HINDUNILVR,,,local_filename_only,UNRESOLVED
ins_bd8b5d0c4146bade,NSE,HINDZINC,,,local_filename_only,UNRESOLVED
ins_e82baa0d55116778,NSE,HSCL,,,local_filename_only,UNRESOLVED
ins_8040b5b7a450d02c,NSE,HUDCO,,,local_filename_only,UNRESOLVED
ins_ae7e7e4198b54fab,NSE,HYUNDAI,,,local_filename_only,UNRESOLVED
ins_86914f27235b69a9,NSE,ICICIAMC,,,local_filename_only,UNRESOLVED
ins_4ea6bcd86a1bba6c,NSE,ICICIBANK,,,local_filename_only,UNRESOLVED
ins_6fd5df34942fe0b5,NSE,ICICIGI,,,local_filename_only,UNRESOLVED
ins_724c3cb0b793e170,NSE,IDBI,,,local_filename_only,UNRESOLVED
ins_1760fc442c45f358,NSE,IDEA,,,local_filename_only,UNRESOLVED
ins_8a0acf96ce75ea70,NSE,IDFCFIRSTB,,,local_filename_only,UNRESOLVED
ins_0ce8908c4d9cc6e9,NSE,IFCI,,,local_filename_only,UNRESOLVED
ins_e4575b7d2315aba4,NSE,IGL,,,local_filename_only,UNRESOLVED
ins_9c0a5adc8faf2b22,NSE,IIFL,,,local_filename_only,UNRESOLVED
ins_012fdcadffe102b4,NSE,IKS,,,local_filename_only,UNRESOLVED
ins_80b90d885029aa43,NSE,INDHOTEL,,,local_filename_only,UNRESOLVED
ins_19aaf0e383288844,NSE,INDIANB,,,local_filename_only,UNRESOLVED
ins_85ada67fa74145ba,NSE,INDUSINDBK,,,local_filename_only,UNRESOLVED
ins_53146f118e00decb,NSE,INDUSTOWER,,,local_filename_only,UNRESOLVED
ins_2c858c7419d3542a,NSE,INFY,,,local_filename_only,UNRESOLVED
ins_d830e1dfef109459,NSE,INOXWIND,,,local_filename_only,UNRESOLVED
ins_aa29f93662aaa30f,NSE,IOC,,,local_filename_only,UNRESOLVED
ins_91884f1e02ffb584,NSE,IRCON,,,local_filename_only,UNRESOLVED
ins_ec8b23f49c3b0a2b,NSE,IRCTC,,,local_filename_only,UNRESOLVED
ins_2185d2a142408f66,NSE,IREDA,,,local_filename_only,UNRESOLVED
ins_c36fabf34cb2a234,NSE,IRFC,,,local_filename_only,UNRESOLVED
ins_e7499b36e6efe223,NSE,ITC,,,local_filename_only,UNRESOLVED
ins_12c0a5140a9486bd,NSE,ITI,,,local_filename_only,UNRESOLVED
ins_fad41fa569892de0,NSE,JBMA,,,local_filename_only,UNRESOLVED
ins_e86bb7ef53fc6701,NSE,JINDALSTEL,,,local_filename_only,UNRESOLVED
ins_cbf7e9bebb76b548,NSE,JMFINANCIL,,,local_filename_only,UNRESOLVED
ins_96fd404bc64a0a90,NSE,JSWCEMENT,,,local_filename_only,UNRESOLVED
ins_4ce42a89fd2a48c0,NSE,JSWENERGY,,,local_filename_only,UNRESOLVED
ins_be3c23ebaa588e43,NSE,JSWSTEEL,,,local_filename_only,UNRESOLVED
ins_97b60a906d1b5c47,NSE,JUBLFOOD,,,local_filename_only,UNRESOLVED
ins_cc56dfed339bb8ba,NSE,JYOTICNC,,,local_filename_only,UNRESOLVED
ins_031bcf10262a1a50,NSE,KALYANKJIL,,,local_filename_only,UNRESOLVED
ins_1ee5a72e772e7db9,NSE,KARURVYSYA,,,local_filename_only,UNRESOLVED
ins_1c1f3b8dc4109a24,NSE,KAYNES,,,local_filename_only,UNRESOLVED
ins_acbff2ab24d8e466,NSE,KEC,,,local_filename_only,UNRESOLVED
ins_4d2604804226bc56,NSE,KEI,,,local_filename_only,UNRESOLVED
ins_9cb0cf5626c4bffe,NSE,KFINTECH,,,local_filename_only,UNRESOLVED
ins_b523910ab6e3c340,NSE,KOTAKBANK,,,local_filename_only,UNRESOLVED
ins_dc4a71125b5290b7,NSE,KPITTECH,,,local_filename_only,UNRESOLVED
ins_6e82f95cd513c57f,NSE,LALPATHLAB,,,local_filename_only,UNRESOLVED
ins_9a61f638757f7a79,NSE,LAURUSLABS,,,local_filename_only,UNRESOLVED
ins_1bde0ae5c4e89d9c,NSE,LENSKART,,,local_filename_only,UNRESOLVED
ins_002a76b3e22bd6ad,NSE,LGEINDIA,,,local_filename_only,UNRESOLVED
ins_50073a7a53218bc5,NSE,LICHSGFIN,,,local_filename_only,UNRESOLVED
ins_89235f35fa16026b,NSE,LODHA,,,local_filename_only,UNRESOLVED
ins_e725a2d98b4f6304,NSE,LT,,,local_filename_only,UNRESOLVED
ins_693bcab03f5d5c35,NSE,LTF,,,local_filename_only,UNRESOLVED
ins_2df71575deaa71be,NSE,LTM,,,local_filename_only,UNRESOLVED
ins_6f90db0d832d354e,NSE,LUPIN,,,local_filename_only,UNRESOLVED
