symbol,date,close_to_close_return,classification
MFSL,2000-05-10 00:00:00,-0.48933739527798936,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
MFSL,2007-03-12 00:00:00,-0.7946210268948655,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
MFSL,2016-01-27 00:00:00,0.5514018691588787,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
MPHASIS,2003-04-10 00:00:00,-0.4,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NEULANDLAB,2008-10-13 00:00:00,1.3762273901808784,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100EQLWGT,2015-11-09 07:16:46,1.0257116030836135,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100EQLWGT,2015-11-10 00:00:00,-0.515460220578011,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100EQLWGT,2018-03-27 12:39:00,-0.9315841947451716,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100EQLWGT,2018-03-28 00:00:00,13.502849527606829,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100EQLWGT,2018-04-04 10:54:00,-0.8725328230400379,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100EQLWGT,2018-04-05 00:00:00,6.993426963361407,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2015-11-09 07:16:46,0.5726215402735066,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2015-11-16 09:00:07,-0.505881478299658,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2015-11-17 00:00:00,1.0321982045237976,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2015-11-17 09:00:07,-0.5057831523527476,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2015-11-18 00:00:00,1.0136491502571698,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2015-11-18 09:00:06,-0.5049845421330204,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2015-11-19 00:00:00,1.0448867811101463,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2015-11-19 09:00:06,-0.5061246488534658,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2015-11-20 00:00:00,1.0405436687721155,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2015-11-20 09:00:05,-0.5060936081939582,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2015-11-23 00:00:00,1.030483003018769,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-04-16 09:15:00,-0.4065930106881229,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-04-17 00:00:00,0.6889867039038311,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-04-17 09:15:00,-0.4049754427082398,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
