symbol,file,asset_class,sha256,earliest_date,latest_date,observations,missing_trading_sessions,missing_session_pct,large_internal_gaps_gt_5_sessions,largest_internal_gap_sessions,duplicate_dates,zero_or_negative_price_rows,zero_volume_rows,missing_volume_rows,turnover_available,suspected_listing_date,suspected_end_date,activity_status,corporate_action_discontinuities
ATHERENERG,ATHERENERG_DAILY.csv,EQUITY_CURRENT_MAP,c022cc8236ae28b4559fb04d8cbec97c3898d68e3361384c06b6ed60f890ee7f,2025-05-06 00:00:00,2026-08-13 00:00:00,317,0,0.0,0,0,0,0,0,0,False,2025-05-06 00:00:00,,CURRENTLY_ACTIVE,0
AUBANK,AUBANK_DAILY.csv,EQUITY_CURRENT_MAP,2104a2407a50834c45215f0fb060d3c7019c638568671b4919fd0a1d750db1c9,2017-07-10 00:00:00,2026-08-13 00:00:00,2252,2,0.08888888888888889,0,0,0,0,0,0,False,2017-07-10 00:00:00,,CURRENTLY_ACTIVE,0
AUROPHARMA,AUROPHARMA_DAILY.csv,EQUITY_CURRENT_MAP,2ab9d57e5c7d37660de3263042987c9eef597b8c25c1ee1363112490bc8ca5d5,2003-01-27 00:00:00,2026-08-13 00:00:00,5804,46,0.7868628121792679,1,22,0,0,0,0,False,2003-01-27 00:00:00,,CURRENTLY_ACTIVE,2
AXISBANK,AXISBANK_DAILY.csv,EQUITY_CURRENT_MAP,805a4a3fcb7ff776e4ceec1044d56cfc3e6045297946ec0af453f180f30e783e,2003-01-01 00:00:00,2026-08-13 00:00:00,5822,46,0.7844474761255116,1,22,0,0,0,0,False,2003-01-01 00:00:00,,CURRENTLY_ACTIVE,0
BAJAJ-AUTO,BAJAJ-AUTO_DAILY.csv,EQUITY_CURRENT_MAP,aaa67b15302c73e448db0dcfb8029f8c4a6dcb57af26d8e85060ae05b24f538a,2008-05-26 00:00:00,2026-08-13 00:00:00,4499,14,0.3104901308494123,0,0,0,0,0,0,False,2008-05-26 00:00:00,,CURRENTLY_ACTIVE,0
BAJAJFINSV,BAJAJFINSV_DAILY.csv,EQUITY_CURRENT_MAP,ec46852b76d89b8067ce0cfc7adaf559d9b30f6acb2d063fdf8a27a5b5cef5d7,2008-05-26 00:00:00,2026-08-13 00:00:00,4499,14,0.3104901308494123,0,0,0,0,1,0,False,2008-05-26 00:00:00,,CURRENTLY_ACTIVE,0
BAJAJHLDNG,BAJAJHLDNG_DAILY.csv,EQUITY_CURRENT_MAP,f92340c4a06af2af0986b5500ec065d7c8d61f2c294a03848aba4b2bddef9942,2003-01-27 00:00:00,2026-08-13 00:00:00,5804,46,0.7868628121792679,1,22,0,0,0,0,False,2003-01-27 00:00:00,,CURRENTLY_ACTIVE,0
BAJFINANCE,BAJFINANCE_DAILY.csv,EQUITY_CURRENT_MAP,5cad60570a40a5908b18bae3588c6f9a655db6bb7421da14edb61ddfc7754821,2003-01-27 00:00:00,2026-08-13 00:00:00,5804,46,0.7868628121792679,1,22,0,0,1,0,False,2003-01-27 00:00:00,,CURRENTLY_ACTIVE,22
BANDHANBNK,BANDHANBNK_DAILY.csv,EQUITY_CURRENT_MAP,c8ad5156d900c5c83b1cbacba8c521890a9db77055653f14863f6034fdd86fe3,2018-03-27 00:00:00,2026-08-13 00:00:00,2075,1,0.04826254826254826,0,0,0,0,0,0,False,2018-03-27 00:00:00,,CURRENTLY_ACTIVE,0
BANKBARODA,BANKBARODA_DAILY.csv,EQUITY_CURRENT_MAP,bfd316590dfeffd5909be05a63982d11b2457bd8f11467b0ec10f23cdec664c9,2003-01-27 00:00:00,2026-08-13 00:00:00,5804,46,0.7868628121792679,1,22,0,0,0,0,False,2003-01-27 00:00:00,,CURRENTLY_ACTIVE,0
