symbol,company_name,index_name,action,announcement_date,effective_date,source_url,reference_reason
BALAJITELE,Balaji Telefilms Ltd.,NIFTY Media,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
BALKRISIND,Balkrishna Industries Ltd.,NIFTY Smallcap 50,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
BASF,BASF India Ltd.,NIFTY Smallcap 50,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
BBTC,Bombay Burmah Trading Corporation Ltd.,NIFTY Alpha 50 Index,included,2018-03-08,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs08032018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
BCONCEPTS,Brand Concepts Ltd.,NIFTY SME EMERGE,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
BEL,Bharat Electronics Ltd.,NIFTY Smallcap 50,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
BERGEPAINT,Berger Paints India Ltd.,NIFTY Smallcap 50,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
BHARATFIN,Bharat Financial Inclusion Ltd.,NIFTY High Beta 50 Index,excluded,2018-03-08,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs08032018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
BOMDYEING,Bombay Dyeing & Manufacturing Co. Ltd.,NIFTY Smallcap 50,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
CADILAHC,Cadila Healthcare Ltd.,NIFTY Smallcap 50,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
CEATLTD,Ceat Ltd.,NIFTY Smallcap 50,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
CENTRALBK,Central Bank of India,NIFTY Smallcap 50,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
CORPBANK,Corporation Bank,NIFTY 500,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
CORPBANK,Corporation Bank,NIFTY MidSmallcap 400,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
CORPBANK,Corporation Bank,NIFTY Smallcap 250,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
CRISIL,CRISIL Ltd.,NIFTY 200,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
CRISIL,CRISIL Ltd.,NIFTY Smallcap 50,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
CYIENT,Cyient Ltd.,NIFTY Dividend Opportunities 50,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DALMIABHA,Dalmia Bharat Ltd.,NIFTY 200,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DALMIABHA,Dalmia Bharat Ltd.,NIFTY 500,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DALMIABHA,Dalmia Bharat Ltd.,NIFTY Commodities,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DALMIABHA,Dalmia Bharat Ltd.,NIFTY LargeMidcap 250,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DALMIABHA,Dalmia Bharat Ltd.,NIFTY MidSmallcap 400,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DALMIABHA,Dalmia Bharat Ltd.,NIFTY Midcap 150,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
